"","genes","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","AT4G11911",440.673219342722,10.0119761182372,0.949210349370032,10.5476895873311,5.20615462203146e-26,7.92856781496778e-24
"2","AT4G21830",54.5341865678737,9.42151335665777,1.7051597501538,5.52529659218615,3.28929465330647e-08,6.40197738622379e-07
"3","AT2G39030",16340.7849308253,9.26045498919185,0.672037713078897,13.7796656481757,3.3783318540395e-43,1.68578759516571e-40
"4","AT4G15200",784.081306835808,9.05463297013168,0.791789224810196,11.4356607622467,2.77416688968209e-30,6.25601308304943e-28
"5","AT1G51780",2067.96768282478,9.03462132654384,1.04613925924385,8.63615550865962,5.81363610558657e-18,4.32848278045466e-16
"6","AT4G10290",800.919982633161,8.85368937306772,0.807422141551376,10.9653784773059,5.60654835006523e-28,1.03535731066205e-25
"7","AT5G26260",191.533911756061,8.77110211414365,1.1631577273021,7.54076760895353,4.67213066842248e-14,2.35646194766693e-12
"8","AT4G37409",473.938042295888,8.64319768293876,0.598358359135324,14.4448515692651,2.70138609998242e-47,1.62450277443302e-44
"9","AT4G37410",1118.89252413899,8.57459514488258,0.625495221993914,13.708490238421,9.03176343998101e-43,4.23643895915749e-40
"10","AT3G11180",45.6991182835732,8.44373454677196,1.16677631793948,7.23680659004424,4.5937250791837e-13,2.11248302513912e-11
"11","AT3G28320",26.436118022506,8.37530591047834,1.78093412881915,4.70276007121701,2.56667969561135e-06,3.11843171173206e-05
"12","AT3G55100",38.5053924771077,8.19521086492499,1.48869660865995,5.50495703238143,3.69258318536131e-08,7.09853716772776e-07
"13","AT3G26330",974.822976388174,8.1502272001278,0.63915714124575,12.7515233331237,3.05712363601683e-37,1.08634425205307e-34
"14","AT4G15210",32264.9568180035,8.14122381459048,0.663597169776912,12.2683220866168,1.34001498908363e-34,4.24694209986193e-32
"15","AT5G38130",400.313618323472,8.09763023614416,0.689651664902194,11.7416235590362,7.79750057365187e-32,1.9663954941275e-29
"16","AT5G42800",4585.18531872035,7.94413853065396,0.383485892427911,20.7155952474766,2.50589410886619e-95,8.39581921931981e-92
"17","AT5G24780",217489.541472826,7.91907928511507,0.466843653227615,16.9630222674443,1.54204728779905e-64,1.64389250185232e-61
"18","AT3G55970",1861.28208676548,7.89326802516518,0.712770863089726,11.0740610116263,1.67628107778729e-28,3.19624553799555e-26
"19","AT1G66280",30.4036843563734,7.85336650841679,1.61878632188061,4.85139168911016,1.22598155355029e-06,1.6477332593361e-05
"20","AT4G11310",46.0975215196719,7.73175803993748,1.1254824455406,6.86972779590862,6.43245250675074e-12,2.49768722915273e-10
"21","AT3G09940",27.8485523777568,7.72615044520186,1.53562954158487,5.03125932132563,4.87268534441746e-07,7.178334760215e-06
"22","AT1G76640",27.8544289012948,7.72600961759268,1.53609023346035,5.02965870708541,4.91353651194739e-07,7.23225613296915e-06
"23","AT3G45130",542.181572746077,7.58707947477392,0.741592948670212,10.2307869679434,1.44341606416799e-24,1.97967467561006e-22
"24","AT5G42655",14.9425749364467,7.55994803582075,1.12443260247954,6.72334475107707,1.77599699119028e-11,6.36887728354521e-10
"25","AT4G17470",7439.52117019359,7.55934595074608,0.678017043763233,11.1491975316565,7.22550395612276e-29,1.41216453569123e-26
"26","AT4G15100",317.70722999934,7.55514269066034,0.912536563112081,8.27927668442627,1.23925696300409e-16,8.18712494460141e-15
"27","AT4G22880",3533.08812034517,7.50999698185834,0.201537905777329,37.2634465605484,6.4180889030818e-304,1.50523439043977e-299
"28","AT5G07010",1260.70320870731,7.49177770805283,0.771485764131505,9.71084374639972,2.71083696713785e-22,3.0131402554637e-20
"29","AT1G69930",14.2680715903792,7.49106877180822,1.29882915878579,5.76755512542637,8.04297809460257e-09,1.74659227085846e-07
"30","AT4G29690",74.8552997364183,7.44477540943166,0.7977956958595,9.33168159225411,1.04204314286857e-20,1.03995905658283e-18
"31","AT4G22870",37.3688894557624,7.44099620095268,1.0125852271387,7.34851348955481,2.00423242636589e-13,9.51523544444517e-12
"32","AT1G28480",140.152968206364,7.36995267853279,1.24807418877303,5.90505976714262,3.52518926095827e-09,8.22649390420441e-08
"33","AT2G47950",21.6486726238114,7.36513299694613,1.24010942223181,5.93909929632756,2.86592250930306e-09,6.78934147582673e-08
"34","AT3G29110",11.6277516541076,7.19229394477971,2.30482360073876,3.12053987232445,0.00180519857532485,0.00873114501693004
"35","AT1G26250",31.6133964198785,7.17211819323314,1.15736932885104,6.19691399663505,5.75809428972057e-10,1.57028587647461e-08
"36","AT3G50280",274.446639485367,7.16879084727871,0.465361487586296,15.4047789482136,1.52008023882538e-53,1.04854240709328e-50
"37","AT1G26255",31.199045181604,7.1530308019683,1.15692729373669,6.18278334402945,6.29811263009991e-10,1.70960226289043e-08
"38","AT1G26390",10.5330726679572,7.05134816270835,1.14530702028911,6.15673180884581,7.42614475394061e-10,1.97690548143211e-08
"39","AT5G59090",27.4736165077825,7.01514251535869,1.14919001999905,6.10442345763193,1.03172418550306e-09,2.66890850358787e-08
"40","AT5G21960",53.1131286405899,6.97710752869109,0.880966086743438,7.91983668120816,2.37822751647474e-15,1.40849924100712e-13
"41","AT3G59930",16.5706069545696,6.97654481502097,1.40400131963099,4.96904434310262,6.72836833615943e-07,9.65730860391354e-06
"42","AT5G28235",9.16965045992815,6.85186662321615,1.28603101263691,5.32791709988929,9.93454458073373e-08,1.72716733915454e-06
"43","AT4G35160",578.332139701739,6.82452763814966,0.738316824820575,9.2433592310566,2.38877391142734e-20,2.28669038957981e-18
"44","AT4G13410",3763.55277183339,6.81592406882699,0.576609057058503,11.8207024072732,3.0512261293996e-32,7.8637809244845e-30
"45","AT1G54020",684.00708530365,6.79060578816675,1.06595047511447,6.37047024857089,1.88449497781372e-10,5.6517980453536e-09
"46","AT2G24850",619.696214861547,6.69781013155056,0.907697062298069,7.37890471364238,1.59596996908829e-13,7.60778123679423e-12
"47","AT5G12340",7.95405872045386,6.6479225252402,1.34387824676681,4.94681905986217,7.54360359069804e-07,1.06578394585928e-05
"48","AT2G24210",1485.7239290429,6.62607649079192,0.811494820999475,8.16527267867334,3.20709940519994e-16,2.05508476366542e-14
"49","AT4G13395",61.3633431520002,6.57012035390788,0.780159095284229,8.42151350105615,3.71651488249839e-17,2.55611212725028e-15
"50","AT3G04170",7.47683520753173,6.56370272184422,1.20461558413431,5.4487944604844,5.07123771999803e-08,9.41692305994567e-07
"51","AT5G54060",1564.08332053819,6.5576667136603,0.253642684196427,25.8539556716798,2.19624980672107e-147,1.71695489056764e-143
"52","AT1G66370",7.3174954403421,6.52652779040092,1.37048733322355,4.76219490117414,1.91498592924043e-06,2.42375418232465e-05
"53","AT3G43250",7.18228150875079,6.5019170051413,1.52261928981652,4.27021846408159,1.95281588748021e-05,0.000184303384342348
"54","AT3G29590",889.299186318417,6.47201439094749,0.2561690672168,25.2646209835714,7.8240664915462e-141,4.58744578565583e-137
"55","AT1G07747",11.598436470486,6.45865286230852,1.40460688151037,4.59819252441903,4.26172089037939e-06,4.86138813434182e-05
